letter,cout_all,count_uppercase,percentage
a,231,24,9.6%
b,45,15,1.9%
c,76,2,3.1%
d,79,0,3.3%
e,250,0,10.4%
f,66,0,2.7%
g,59,9,2.4%
h,90,14,3.7%
i,209,4,8.7%
k,10,0,0.4%
l,122,2,5.1%
m,51,4,2.1%
n,178,16,7.4%
o,140,5,5.8%
p,60,20,2.5%
r,163,0,6.7%
s,122,2,5.1%
t,220,8,9.1%
u,38,0,1.6%
v,29,0,1.2%
w,50,5,2.1%
x,11,0,0.5%
y,52,0,2.2%
а,8,0,0.3%
в,4,0,0.2%
д,2,0,0.1%
е,4,0,0.2%
ж,1,0,0.0%
и,5,1,0.2%
к,4,0,0.2%
л,2,0,0.1%
м,6,3,0.2%
н,8,0,0.3%
о,6,0,0.2%
р,4,0,0.2%
с,5,1,0.2%
т,2,0,0.1%
ь,2,0,0.1%
я,1,0,0.0%
